1,1,0.501,0,17.762,17.786,18.603,19.104,-1,-1
1,2,20.106,0,16.931,NaN,6.902,27.008,0,-1
1,3,28.025,0,3.212,3.236,3.678,31.703,5,4
1,4,32.706,0,21.512,NaN,9.916,42.622,0,4
1,5,43.624,0,5.327,5.343,5.806,49.430,5,9
1,6,50.431,0,3.490,3.522,4.055,54.486,5,14
1,7,55.490,0,2.641,2.668,3.222,58.712,5,19
1,8,59.714,0,5.620,5.645,6.429,66.143,-1,18
1,9,67.146,0,11.456,11.486,12.181,79.327,-1,17
1,10,80.330,0,10.728,10.758,11.276,91.607,-1,16
1,11,92.608,0,8.354,8.385,8.904,101.512,-1,15
1,12,102.530,0,15.239,NaN,7.214,109.744,0,15
1,13,110.748,0,1.390,1.419,1.858,112.606,5,20
2,1,0.502,0,2.274,2.311,2.960,3.461,-1,19
2,2,4.463,0,5.887,5.935,6.403,10.866,5,24
2,3,11.869,0,5.152,5.182,5.696,17.565,-1,23
2,4,18.567,0,9.120,9.140,9.658,28.225,5,28
2,5,29.227,0,1.573,1.599,2.410,31.637,-1,27
2,6,32.639,0,14.722,14.746,15.279,47.918,5,32
2,7,48.920,0,11.330,11.354,11.823,60.743,5,37
2,8,61.746,0,11.580,11.602,12.965,74.711,5,42
2,9,75.713,0,11.572,11.592,12.925,88.638,-1,41
2,10,89.641,0,15.704,15.722,16.621,106.262,5,46
2,11,107.265,0,1.083,1.116,2.806,110.070,-1,45
3,1,0.502,0,1.881,1.931,2.401,2.903,5,50
3,2,3.906,0,13.160,13.184,13.541,17.447,-1,49
3,3,18.448,0,4.706,4.729,5.094,23.543,5,54
3,4,24.546,0,1.493,1.516,1.948,26.495,5,59
3,5,27.497,0,9.451,NaN,5.573,33.070,0,59
3,6,34.073,0,1.756,1.812,2.405,36.478,5,64
3,7,37.481,0,7.555,NaN,6.343,43.823,0,64
3,8,44.825,0,6.997,7.032,7.446,52.272,5,69
3,9,53.272,0,7.092,7.122,7.606,60.878,-1,68
3,10,61.880,0,12.304,NaN,5.537,67.416,0,68
3,11,68.418,0,11.002,NaN,8.317,76.735,0,68
3,12,77.738,0,4.160,4.187,4.655,82.393,5,73
3,13,83.395,0,3.510,3.563,3.996,87.391,5,78
3,14,88.395,0,18.257,NaN,6.716,95.111,0,78
3,15,96.114,0,16.952,NaN,8.535,104.648,0,78
3,16,105.649,0,11.540,NaN,8.455,114.103,0,78
3,17,115.106,0,1.212,1.235,1.653,116.760,5,83
3,18,117.763,0,0.768,0.811,1.165,118.928,5,88
